Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-02-18,Data Engineer - PySpark + Databricks + Scala | Pan India | Immediate," Hyderabad, Bengaluru, Mumbai (All Areas)",Cygnus Professionals,6 , 11 ,14,24,"PySpark,ETL,Spark,Scala,Data Engineer,Azure Databricks"
2024-02-18,"Analog Design, Staff Engineer"," Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",Synopsys,3 , 8 ,,,"Circuit designing,JTAG,IPS,Scripting,Automation,SPI,Analog design,Simulation"
2024-02-18,Opportunity For Lead Data Engineer," Bangalore Rural,Karnataka",Huron Consulting Group,8 , 10 ,,,"Python,Azure,SQL,AWS"
2024-02-18,Software Engineer in Japan, Japan,Astro Training and services,0 , 5 ,12,20,"Full Stack,Front End,Dot net,Python,Node,Backend,Android,React.Js,Mern Stack,Mean,PHP,IOS,Ionic Framework,Angularjs,Java Fullstack,React Native,java,Mobile Application Development,Flutter"
2024-02-18,SAP EWM Functional Consultant - Support & Implementation," Mumbai, Bangalore/Bengaluru, Delhi / NCR",Techstar Group,5 , 8 ,,,"SAP HANA,SAP S/4 HANA,SAP Implementation,SAP Support,SAP EWM,SAP,project documentation,Solution Design"
2024-02-18,Analytics Senior Analyst - Marketing and Customer Analytics, Mumbai,Accenture,5 , 8 ,,,"research,segmentation,qlikview,r,predictive analytics,statistical techniques,roi,google analytics,digital marketing,marketing analytics,ab testing,customer analytics,marketing,data science,microsoft power bi,python,adobe analytics,writing"
2024-02-18,Analyst / Data Analyst/ Business Analyst," Noida,Uttar Pradesh, Gurugram,Haryana, Delhi / NCR",Milestone Online Technology,0 , 1 ,1.75,2.5,"Business Analysis,MIS,Excel,Analysis,Pivot Table,Analysts,Operations,VLOOKUP,Excel Report Preparation,Dashboards,MIS Reporting,Finance,Reporting,Data Analysis"
2024-02-18,HR Data Scientist, Hyderabad/Secunderabad,NCR Corporation,2 , 7 ,,,"Operational excellence,Python,Data mining,SQL,data science,Machine learning,Recruitment,SDS,Analytics"
2024-02-18,Software Development Engineer, Hyderabad,Accenture,5 , 7 ,,,"unix,coding,oops,oracle peoplesoft financials,html,general ledger,oracle,c++,ajax,photoshop,sql,oracle financials,jquery,coding standards,css,software development,javascript,android,plsql,git,c,agile,jira,java,debugging,technical skills,.net"
2024-02-18,Software Engineering Manager - Google Cloud Platform, Delhi / NCR,Benovymed Healthcare,0 , 12 ,,,"Full Stack,CSS,HTML,Google Cloud,NoSQL DB,JavaScript,DevOps Development,MongoDB,REST API,Product Development,Software Engineering development,AWS"
